"fecha_fallecimiento","sexo","agrp","dpt_cdc","prov_cdc","n"
"2020-04-12","F","18-44","LAMBAYEQUE","FERREÑAFE",1
"2020-04-12","F","45-64","CALLAO","CALLAO",1
"2020-04-12","F","45-64","ICA","PISCO",1
"2020-04-12","F","45-64","LAMBAYEQUE","CHICLAYO",2
"2020-04-12","F","45-64","LIMA","LIMA",9
"2020-04-12","F","65+","ANCASH","CARHUAZ",1
"2020-04-12","F","65+","CALLAO","CALLAO",2
"2020-04-12","F","65+","ICA","CHINCHA",1
"2020-04-12","F","65+","ICA","ICA",1
"2020-04-12","F","65+","JUNIN","HUANCAYO",1
"2020-04-12","F","65+","LA LIBERTAD","CHEPEN",1
"2020-04-12","F","65+","LA LIBERTAD","TRUJILLO",1
"2020-04-12","F","65+","LIMA","LIMA",11
"2020-04-12","F","65+","LORETO","MAYNAS",1
"2020-04-12","F","65+","PIURA","PIURA",1
"2020-04-12","M","18-44","CALLAO","CALLAO",1
"2020-04-12","M","18-44","LAMBAYEQUE","LAMBAYEQUE",1
"2020-04-12","M","18-44","LIMA","LIMA",8
"2020-04-12","M","18-44","PIURA","SULLANA",1
"2020-04-12","M","45-64","ANCASH","SANTA",1
"2020-04-12","M","45-64","CALLAO","CALLAO",2
"2020-04-12","M","45-64","LAMBAYEQUE","CHICLAYO",3
"2020-04-12","M","45-64","LIMA","CAÑETE",1
"2020-04-12","M","45-64","LIMA","LIMA",15
"2020-04-12","M","45-64","PIURA","PIURA",1
"2020-04-12","M","45-64","TUMBES","TUMBES",1
"2020-04-12","M","65+","ANCASH","SANTA",1
"2020-04-12","M","65+","AREQUIPA","AREQUIPA",1
"2020-04-12","M","65+","CALLAO","CALLAO",2
"2020-04-12","M","65+","LA LIBERTAD","TRUJILLO",1
"2020-04-12","M","65+","LAMBAYEQUE","CHICLAYO",3
"2020-04-12","M","65+","LAMBAYEQUE","FERREÑAFE",2
"2020-04-12","M","65+","LIMA","LIMA",18
"2020-04-12","M","65+","LORETO","MAYNAS",1
"2020-04-12","M","65+","LORETO","REQUENA",2
"2020-04-12","M","65+","LORETO","UCAYALI",1
"2020-04-12","M","65+","PIURA","PIURA",1
"2020-04-13","F","45-64","AREQUIPA","AREQUIPA",1
"2020-04-13","F","45-64","CALLAO","CALLAO",1
"2020-04-13","F","45-64","LIMA","LIMA",8
"2020-04-13","F","65+","ANCASH","SANTA",1
"2020-04-13","F","65+","CALLAO","CALLAO",1
"2020-04-13","F","65+","ICA","ICA",2
"2020-04-13","F","65+","ICA","PALPA",1
"2020-04-13","F","65+","LIMA","LIMA",8
"2020-04-13","F","65+","PIURA","PIURA",3
"2020-04-13","F","65+","TUMBES","ZARUMILLA",2
"2020-04-13","M","18-44","ANCASH","SANTA",1
"2020-04-13","M","18-44","CAJAMARCA","SANTA CRUZ",1
"2020-04-13","M","18-44","LIMA","LIMA",6
"2020-04-13","M","18-44","PIURA","MORROPON",1
"2020-04-13","M","18-44","PIURA","PIURA",1
"2020-04-13","M","45-64","AREQUIPA","AREQUIPA",1
"2020-04-13","M","45-64","CALLAO","CALLAO",3
